Connection established...
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(    0, 0), (    0,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-2034, 0), ( -141,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-2034, 0), ( -141,1)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-2034, 0), ( -393,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-2034, 0), ( -393,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-2034, 0), ( -393,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-2034, 0), ( -393,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-2034, 0), ( -393,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-2034, 0), ( -393,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-2034, 1), ( -393,1)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1953, 0), ( -544,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1953, 0), ( -544,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1953, 0), ( -544,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1953, 0), ( -544,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1953, 0), ( -544,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1953, 0), ( -544,0)] ---> Flush, ErrNum: 0
