txMsgBitstream nrzI nrzQ modI modQ modOut deModI deModQ lpfI lpfQ sampledStreamI sampledStreamQ rxMsgToBitstream
0 -1 1 -2043 -16 -2059 -4206537 32944 0 0 -2.0891e+06 2.08966e+06 0
0 -1 1 -1880 802 -1078 -2026640 -864556 -23.9755 0.187767 -2.0891e+06 2.08966e+06 0
0 -1 1 -1410 1482 72 101520 106704 -141.565 -3.9094 -2.0891e+06 2.08966e+06 0
0 -1 1 -715 1915 1200 858000 2298000 -438.734 -23.1632 -2.0891e+06 2.08966e+06 0
0 -1 1 78 2045 2123 -165594 4341535 -1008.18 -54.4838 -2.0891e+06 2.08966e+06 0
0 -1 1 862 1856 2718 -2342916 5044608 -1956.95 -53.7866 -2.0891e+06 2.08966e+06 0
0 -1 1 1522 1363 2885 -4390970 3932255 -3428.89 84.6831 -2.0891e+06 2.08966e+06 0
0 -1 1 1939 654 2593 -5027827 1695822 -5631.42 534.455 -2.0891e+06 2.08966e+06 0
0 -1 1 2042 -140 1902 -3883884 -266280 -8853 1529.13 -2.0891e+06 2.08966e+06 0
0 -1 1 1812 -947 865 -1567380 -819155 -13462.7 3351 -2.0891e+06 2.08966e+06 0
0 -1 1 1289 -1589 -300 386700 476700 -19893 6327.44 -2.0891e+06 2.08966e+06 0
0 -1 1 578 -1963 -1385 800530 2718755 -28615.7 10841 -2.0891e+06 2.08966e+06 0
0 -1 1 -203 -2034 -2237 -454111 4550058 -40125.7 17349 -2.0891e+06 2.08966e+06 0
0 -1 1 -1003 -1782 -2785 -2793355 4962870 -54935.6 26399.8 -2.0891e+06 2.08966e+06 0
0 -1 1 -1625 -1239 -2864 -4654000 3548496 -73580.5 38632.5 -2.0891e+06 2.08966e+06 0
0 -1 1 -1978 -517 -2495 -4935110 1289915 -96620.2 54754.3 -2.0891e+06 2.08966e+06 0
0 -1 1 -2023 301 -1722 -3483606 -518322 -124626 75498.2 -2.0891e+06 2.08966e+06 0
0 -1 1 -1735 1083 -652 -1131220 -706116 -158150 101575 -2.0891e+06 2.08966e+06 0
0 -1 1 -1189 1665 476 565964 792540 -197674 133629 -2.0891e+06 2.08966e+06 0
0 -1 1 -425 2000 1575 669375 3150000 -243569 172216 -2.0891e+06 2.08966e+06 0
0 -1 1 395 2009 2404 -949580 4829636 -296054 217781 -2.0891e+06 2.08966e+06 0
0 -1 1 1137 1700 2837 -3225669 4822900 -355187 270648 -2.0891e+06 2.08966e+06 0
0 -1 1 1718 1111 2829 -4860222 3143019 -420867 330993 -2.0891e+06 2.08966e+06 0
0 -1 1 2013 363 2376 -4782888 862488 -492838 398814 -2.0891e+06 2.08966e+06 0
0 -1 1 1994 -455 1539 -3068766 -700245 -570695 473892 -2.0891e+06 2.08966e+06 0
0 -1 1 1645 -1215 430 -707350 -522450 -653870 555764 -2.0891e+06 2.08966e+06 0
0 -1 1 1057 -1751 -694 733558 1215194 -741632 643720 -2.0891e+06 2.08966e+06 0
0 -1 1 267 -2028 -1761 470187 3571308 -833077 736831 -2.0891e+06 2.08966e+06 0
